stid,station_name,lat,lon,elev,begints,iem_network,location,region_code
EDKA,Aachen Merzbruck,50.8242,6.187,191.069,12/01/18 7:00,DE__ASOS,Köln-K|Nordrhein-Westfalen-NRW|Germany-DE,NW
EDAC,ALTENBURG-NOBITZ,50.98182,12.50636,195,03/01/11 1:20,DE__ASOS,Leipzig-Leipzig|Thuringia-TH|Germany-DE,TH
ETHA,ALTENSTADT/SCHON,47.83639,10.87222,760,22/08/11 22:20,DE__ASOS,Oberbayern-Oberbayern|Bayern-BY|Germany-DE,BY
EDMA,AUGSBERG/MULHAUS,48.42611,10.94306,463,02/07/11 0:20,DE__ASOS,Schwaben-Schwaben|Bayern-BY|Germany-DE,BY
EDDB,BERLIN/SCHONEFEL,52.38222,13.5325,48,31/12/10 18:20,DE__ASOS,Brandenburg-BB|Germany-DE,BB
EDDT,BERLIN/TEGEL (FA,52.56441,13.30882,37,31/12/10 18:20,DE__ASOS,Berlin-Berlin|Germany-DE,BE
EDMB,Biberach An Der Riss Airfield,48.111,9.7628,577.393,,DE__ASOS,Germany-DE,-
EDVE,BRAUNSCHWEIG    ,52.29306,10.44861,88,22/08/11 14:20,DE__ASOS,Niedersachsen-NDS|Germany-DE,NI
EDDW,BREMEN          ,53.0475,8.78667,5,31/12/10 18:20,DE__ASOS,Germany-DE,-
ETHB,BUCKEBURG(GER-AR,52.28194,9.08778,78,22/08/11 17:20,DE__ASOS,Niedersachsen-NDS|Germany-DE,NI
ETSB,BUECHEL         ,50.17389,7.06333,486,22/08/11 14:20,DE__ASOS,Rheinland-Pfalz-RP|Germany-DE,RP
ETHC,CELLE (GER-ARMY),52.59528,10.02806,52,22/08/11 14:20,DE__ASOS,Niedersachsen-NDS|Germany-DE,NI
EDBC,COCHSTEDT ARPT  ,51.85638,11.42028,181,31/12/10 18:20,DE__ASOS,Sachsen-Anhalt-SA|Germany-DE,ST
ETOR,COLEMAN (USA-AF),49.56357,8.46339,94,22/08/11 23:55,DE__ASOS,Karlsruhe-KA|Baden-Württemberg-BW|Germany-DE,BW
ETND,DIEPHOLZ (GER-AF,52.59028,8.34639,43,22/08/11 23:20,DE__ASOS,Niedersachsen-NDS|Germany-DE,NI
EDTD,DONAUESCHINGEN  ,47.97333,8.52222,680,23/08/11 0:50,DE__ASOS,Freiburg-Freiburg|Baden-Württemberg-BW|Germany-DE,BW
EDLW,DORTMUND/WICKEDE,51.51831,7.61224,127,22/08/11 14:20,DE__ASOS,Arnsberg-Arnsberg|Nordrhein-Westfalen-NRW|Germany-DE,NW
EDDC,DRESDEN/KLOTZSCH,51.12917,13.75611,226,31/12/10 18:20,DE__ASOS,Dresden-DD|Sachsen-SN|Germany-DE,SN
EDDL,DUESSELDORF     ,51.2975,6.76917,44,31/12/10 18:20,DE__ASOS,Düsseldorf-Düsseldorf|Nordrhein-Westfalen-NRW|Germany-DE,NW
EDFE,EGELSBACH       ,49.96083,8.6415,118,31/12/10 18:20,DE__ASOS,Darmstadt-DA|Hessen-HE|Germany-DE,HE
ETSE,ERDING (GER-AFB),48.32233,11.94867,467,23/08/11 0:20,DE__ASOS,Oberbayern-Oberbayern|Bayern-BY|Germany-DE,BY
EDDE,ERFURT/BINDERSLE,50.98472,10.96306,323,31/12/10 18:20,DE__ASOS,Thüringen-TH|Germany-DE,TH
ETHS,FASSBERG (GER-AF,52.91944,10.18389,88,22/08/11 14:20,DE__ASOS,Lower Saxony-NDS|Germany-DE,NI
EDDF,FRANKFURT MAIN A,50.04639,8.59861,113,31/12/10 18:20,DE__ASOS,Darmstadt-DA|Hessen-HE|Germany-DE,HE
EDNY,FRIEDRICHSHAFEN ,47.67132,9.51149,424,22/08/11 14:20,DE__ASOS,Tübingen-TÜ|Baden-Württemberg-BW|Germany-DE,BW
ETHF,FRITZLAR (GER-AR,51.11944,9.28361,181,22/08/11 17:20,DE__ASOS,Kassel-KS|Hessen-HE|Germany-DE,HE
ETNG,GEILENKIRCHEN(NA,50.96381,6.03227,98,22/08/11 14:50,DE__ASOS,Cologne-K|North Rhine-Westphalia-NRW|Germany-DE,NW
ETIC,GRAFENWOEHR     ,49.69869,11.94017,415,22/08/11 13:56,DE__ASOS,Oberpfalz-Oberpfalz|Bayern-BY|Germany-DE,BY
ETUO,GUETERSLOH (RAF),51.92972,8.30028,72,22/08/11 14:50,DE__ASOS,Detmold-Detmold|Nordrhein-Westfalen-NRW|Germany-DE,NW
EDFH,HAHN            ,49.9475,7.26472,498,31/12/10 18:20,DE__ASOS,Rheinland-Pfalz-RP|Germany-DE,RP
EDHI,HAMBURG/FINKENWE,53.53589,9.83703,13,02/01/11 22:50,DE__ASOS,Hamburg-HH|Germany-DE,HH
EDDH,HAMBURG/FUHLSBUT,53.635,9.99,16,31/12/10 18:20,DE__ASOS,Hamburg-HH|Germany-DE,HH
EDDV,HANNOVER        ,52.46583,9.67972,54,31/12/10 18:20,DE__ASOS,Niedersachsen-NDS|Germany-DE,NI
ETIE,HEIDELBERG (USA-,49.39333,8.65167,109,30/11/11 7:45,DE__ASOS,Karlsruhe-KA|Baden-Württemberg-BW|Germany-DE,BW
EDAH,HERINGSDORF     ,53.87871,14.15235,28,04/01/11 6:50,DE__ASOS,Mecklenburg-Vorpommern-MV|Germany-DE,MV
EDQM,HOF             ,50.31333,11.8775,568,22/08/11 14:20,DE__ASOS,Oberfranken-Oberfranken|Bayern-BY|Germany-DE,BY
ETIH,HOHENFELS (USA-A,49.21806,11.83611,442,22/08/11 14:55,DE__ASOS,Oberpfalz-Oberpfalz|Bayern-BY|Germany-DE,BY
ETNH,HOHN (GER-AFB)  ,54.31278,9.53944,17,22/08/11 17:20,DE__ASOS,Schleswig-Holstein-SH|Germany-DE,SH
ETSH,HOLZDORF        ,51.76667,13.16667,79,22/08/11 17:20,DE__ASOS,Brandenburg-BB|Germany-DE,BB
ETGI,Idar-Oberstein,49.7,7.33,304.129,20/10/17 3:20,DE__ASOS,Rheinland-Pfalz-RP|Germany-DE,RP
ETIK,ILLESHEIM (USA-A,49.475,10.38972,325,22/08/11 14:55,DE__ASOS,Mittelfranken-Mittelfranken|Bayern-BY|Germany-DE,BY
ETSI,INGOLSTADT(GER-M,48.71567,11.534,370,22/08/11 22:20,DE__ASOS,Oberbayern-Oberbayern|Bayern-BY|Germany-DE,BY
ETNJ,JEVER (GER-AFB) ,53.53222,7.88056,21,29/08/11 0:20,DE__ASOS,Niedersachsen-NDS|Germany-DE,NI
ETGY,KALKAR (MIL COMM,51.73333,6.26667,43,22/08/11 14:20,DE__ASOS,Düsseldorf-Düsseldorf|Nordrhein-Westfalen-NRW|Germany-DE,NW
EDSB,KARLSRUHE/BADEN ,48.77935,8.0805,124,22/08/11 14:20,DE__ASOS,Karlsruhe-KA|Baden-Württemberg-BW|Germany-DE,BW
EDVK,KASSEL/CALDEN   ,51.40839,9.37763,285,22/08/11 14:20,DE__ASOS,Kassel-KS|Hessen-HE|Germany-DE,HE
ETEB,KATTERBACH (USA-,49.31667,10.63333,467,22/08/11 14:55,DE__ASOS,Mittelfranken-Mittelfranken|Bayern-BY|Germany-DE,BY
EDHK,KIEL/HOLTENAU CI,54.3795,10.14517,31,01/01/11 19:20,DE__ASOS,Schleswig-Holstein-SH|Germany-DE,SH
EDDK,KOELN/BONN      ,50.86611,7.15861,99,31/12/10 18:20,DE__ASOS,Köln-K|Nordrhein-Westfalen-NRW|Germany-DE,NW
ETNL,LAAGE           ,53.91817,12.27833,40,22/08/11 14:20,DE__ASOS,Mecklenburg-Vorpommern-MV|Germany-DE,MV
EDTL,LAHR (CAN-AFB)  ,48.36917,7.82778,156,22/08/11 14:20,DE__ASOS,Freiburg-Freiburg|Baden-Württemberg-BW|Germany-DE,BW
ETSA,LANDSBERG (GER-A,48.07667,10.91472,628,22/08/11 14:20,DE__ASOS,Oberbayern-Oberbayern|Bayern-BY|Germany-DE,BY
ETHL,LAUPHEIM (GER-AR,48.21833,9.90972,549,22/08/11 14:20,DE__ASOS,Tübingen-TÜ|Baden-Württemberg-BW|Germany-DE,BW
ETSL,LECHFELD (GER-AF,48.18639,10.85056,562,22/08/11 14:20,DE__ASOS,Schwaben-Schwaben|Bayern-BY|Germany-DE,BY
EDDP,LEIPZIG/SCHKEUDI,51.43611,12.24139,149,31/12/10 18:20,DE__ASOS,Leipzig-Leipzig|Sachsen-SN|Germany-DE,SN
EDHL,LUEBECK/BLANKENS,53.80536,10.71922,16,01/01/11 7:50,DE__ASOS,Schleswig-Holstein-SH|Germany-DE,SH
EDFM,MANNHEIM        ,49.47271,8.51426,100,02/01/11 0:50,DE__ASOS,Karlsruhe-KA|Baden-Württemberg-BW|Germany-DE,BW
ETGG,MEIERWIK        ,54.84889,9.50806,33,22/08/11 17:20,DE__ASOS,Denmark-DK,Denmark
EDJA,MEMMINGEN ALLGAU,47.98876,10.2395,633,01/01/12 0:20,DE__ASOS,Schwaben-Schwaben|Bayern-BY|Germany-DE,BY
ETWM,MEPPEN          ,52.72333,7.32639,21,22/08/11 23:20,DE__ASOS,Niedersachsen-NDS|Germany-DE,NI
ETGZ,MESSSTETTEN     ,48.18472,8.9925,920,22/08/11 14:20,DE__ASOS,Tübingen-TÜ|Baden-Württemberg-BW|Germany-DE,BW
EDLN,MONCHENGLADBACH ,51.23028,6.50444,38,02/01/11 1:20,DE__ASOS,Düsseldorf-Düsseldorf|Nordrhein-Westfalen-NRW|Germany-DE,NW
EDDG,MUENSTER/OSNABRU,52.13528,7.7,52,31/12/10 18:20,DE__ASOS,Münster-MS|Nordrhein-Westfalen-NRW|Germany-DE,NW
EDDM,MUNICH-FLUGHAFEN,48.35833,11.80917,447,31/12/10 18:20,DE__ASOS,Oberbayern-Oberbayern|Bayern-BY|Germany-DE,BY
ETSN,NEUBURG/DONAU   ,48.711,11.2115,387,22/08/11 14:20,DE__ASOS,Oberbayern-Oberbayern|Bayern-BY|Germany-DE,BY
EDLV,NIEDERRHEIN     ,51.60241,6.14217,32,22/08/11 14:20,DE__ASOS,Düsseldorf-Düsseldorf|Nordrhein-Westfalen-NRW|Germany-DE,NW
ETHN,NIEDERSTETTEN (G,49.39917,9.96528,473,22/08/11 14:20,DE__ASOS,Stuttgart-Süd|Baden-Württemberg-BW|Germany-DE,BW
ETNN,NOERVENICH (GAF),50.83117,6.65817,135,22/08/11 14:20,DE__ASOS,Köln-K|Nordrhein-Westfalen-NRW|Germany-DE,NW
ETMN,NORDHOLZ (GER-NA,53.76472,8.6575,31,22/08/11 17:20,DE__ASOS,Niedersachsen-NDS|Germany-DE,NI
EDDN,NUERNBERG       ,49.503,11.05498,312,31/12/10 18:20,DE__ASOS,Mittelfranken-Mittelfranken|Bayern-BY|Germany-DE,BY
EDMO,OBERPFAFFENHOFEN,48.08136,11.28307,600,22/08/11 23:20,DE__ASOS,Oberbayern-Oberbayern|Bayern-BY|Germany-DE,BY
EDLP,PADERBORN/LIPPST,51.61667,8.61667,213,22/08/11 14:20,DE__ASOS,Detmold-Detmold|Nordrhein-Westfalen-NRW|Germany-DE,NW
EDAR,PIRNA-PRATZSCHWI,50.97917,13.91667,400,11/11/11 16:00,DE__ASOS,Dresden-DD|Sachsen-SN|Germany-DE,SN
ETAR,RAMSTEIN (USAFB),49.43691,7.60028,238,02/07/11 0:55,DE__ASOS,Rheinland-Pfalz-RP|Germany-DE,RP
ETHE,RHEINE/BENTLAGE ,52.28917,7.38639,49,22/08/11 14:20,DE__ASOS,Münster-MS|Nordrhein-Westfalen-NRW|Germany-DE,NW
ETGQ,ROTENBURG       ,53.13333,9.35,61,26/08/11 9:12,DE__ASOS,Niedersachsen-NDS|Germany-DE,NI
ETHR,ROTH (GER-ARMY) ,49.2175,11.10017,395,22/08/11 14:20,DE__ASOS,Germany-DE,-
EDDR,SAARBRUECKEN    ,49.21417,7.10833,320,31/12/10 18:20,DE__ASOS,Germany-DE,-
ETNS,SCHLESWIG(GER-NA,54.45667,9.52056,25,22/08/11 17:20,DE__ASOS,Schleswig-Holstein-SH|Germany-DE,SH
EDTY,Schwaebisch Hall,49.1183,9.784,397.607,27/06/13 3:20,DE__ASOS,Stuttgart-Süd|Baden-Württemberg-BW|Germany-DE,BW
EDOP,SCHWERIN-PARCHIM,53.427,11.78344,51,22/08/11 23:20,DE__ASOS,Mecklenburg-Vorpommern-MV|Germany-DE,MV
EDGS,SIEGERLAND      ,50.70766,8.08297,602,31/12/10 18:32,DE__ASOS,Germany-DE,-
ETAD,SPANGDAHLEM (USA,49.98015,6.69924,365,02/07/11 0:55,DE__ASOS,Rheinland-Pfalz-RP|Germany-DE,RP
EDDS,STUTTGART/ECHTER,48.68917,9.22528,419,31/12/10 18:50,DE__ASOS,Stuttgart-Süd|Baden-Württemberg-BW|Germany-DE,BW
ETNU,TROLLENHAGEN    ,53.60222,13.30611,71,22/08/11 14:20,DE__ASOS,Mecklenburg-Vorpommern-MV|Germany-DE,MV
ETML,Unknown,51.778,11.337,125,12/11/14 8:20,DE__ASOS,Sachsen-Anhalt-SA|Germany-DE,ST
EDXW,WESTERLAND/SYLT ,54.91325,8.34047,20,22/08/11 14:20,DE__ASOS,Schleswig-Holstein-SH|Germany-DE,SH
ETOU,WIESBADEN (USA-A,50.04982,8.3254,141,22/08/11 14:55,DE__ASOS,Darmstadt-DA|Hessen-HE|Germany-DE,HE
ETNT,WITTMUNDHAVEN(GA,53.54783,7.66733,12,22/08/11 17:20,DE__ASOS,Niedersachsen-NDS|Germany-DE,NI
ETNW,WUNSTORF (GER-AF,52.45806,9.42833,70,22/08/11 14:20,DE__ASOS,Lower Saxony-NDS|Germany-DE,NI
EDRZ,ZWEIBRUCKEN     ,49.20952,7.40065,344,22/08/11 14:20,DE__ASOS,Rheinland-Pfalz-RP|Germany-DE,RP